wine_id,country,price,province,region_1,region_2,variety,winery
1,Italy,0,Sicily & Sardinia,Etna,,White Blend,Nicosia
2,Portugal,15,Douro,,,Portuguese Red,Quinta dos Avidagos
3,US,14,Oregon,Willamette Valley,Willamette Valley,Pinot Gris,Rainstorm
4,US,13,Michigan,Lake Michigan Shore,,Riesling,St. Julian
5,US,65,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Sweet Cheeks
6,Spain,15,Northern Spain,Navarra,,Tempranillo-Merlot,Tandem
7,Italy,16,Sicily & Sardinia,Vittoria,,Frappato,Terre di Giurfo
8,France,24,Alsace,Alsace,,Gewurztraminer,Trimbach
9,Germany,12,Rheinhessen,,,Gewurztraminer,Heinz Eifel
10,France,27,Alsace,Alsace,,Pinot Gris,Jean-Baptiste Adam
11,US,19,California,Napa Valley,Napa,Cabernet Sauvignon,Kirkland Signature
12,France,30,Alsace,Alsace,,Gewurztraminer,Leon Beyer
13,US,34,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Louis M. Martini
14,Italy,0,Sicily & Sardinia,Etna,,Nerello Mascalese,Masseria Setteporte
15,US,12,California,Central Coast,Central Coast,Chardonnay,Mirassou
16,Germany,24,Mosel,,,Riesling,Richard Bocking
17,Argentina,30,Other,Cafayate,,Malbec,Felix Lavaque
18,Argentina,13,Mendoza Province,Mendoza,,Malbec,Gaucho Andino
19,Spain,28,Northern Spain,Ribera del Duero,,Tempranillo Blend,Pradorey
20,US,32,Virginia,Virginia,,Meritage,Quievremont
21,US,23,Virginia,Virginia,,Red Blend,Quievremont
22,US,20,Oregon,Oregon,Oregon Other,Pinot Noir,Acrobat
23,Italy,19,Sicily & Sardinia,Sicilia,,White Blend,Baglio di Pianetto
24,US,22,California,Paso Robles,Central Coast,Merlot,Bianchi
25,Italy,35,Sicily & Sardinia,Sicilia,,Nero d'Avola,Canicatti
26,US,69,California,Sonoma Coast,Sonoma,Pinot Noir,Castello di Amorosa
27,Italy,13,Sicily & Sardinia,Terre Siciliane,,White Blend,Stemmari
28,Italy,10,Sicily & Sardinia,Terre Siciliane,,Nero d'Avola,Stemmari
29,Italy,17,Sicily & Sardinia,Cerasuolo di Vittoria,,Red Blend,Terre di Giurfo
30,US,16,California,Clarksburg,Central Valley,Chenin Blanc,Clarksburg Wine Company
31,France,0,Beaujolais,Beaujolais-Villages,,Gamay,Domaine de la Madone
32,Italy,0,Sicily & Sardinia,Sicilia,,Red Blend,Duca di Salaparuta
33,Italy,0,Sicily & Sardinia,Sicilia,,White Blend,Duca di Salaparuta
34,US,50,California,Dry Creek Valley,Sonoma,Red Blend,Envolve
35,US,20,California,Sonoma Valley,Sonoma,Sauvignon Blanc,Envolve
36,US,50,Oregon,McMinnville,Willamette Valley,Pinot Noir,Erath
37,Chile,15,Colchagua Valley,,,Viognier-Chardonnay,Estampa
38,Italy,21,Sicily & Sardinia,Sicilia,,Cabernet Sauvignon,Feudi del Pisciotto
39,Italy,11,Southern Italy,Puglia,,Primitivo,Feudi di San Marzano
40,Italy,12,Sicily & Sardinia,Sicilia,,Nero d'Avola,Feudo di Santa Tresa
41,Italy,17,Sicily & Sardinia,Sicilia,,Catarratto,Feudo Montoni
42,US,22,Oregon,Willamette Valley,Willamette Valley,Pinot Noir,Hawkins Cellars
43,France,9,Beaujolais,Beaujolais,,Gamay,Henry Fessy
44,US,14,California,Paso Robles,Central Coast,Sauvignon Blanc,Robert Hall
45,Chile,9,Maule Valley,,,Merlot,Sundance
46,US,40,Virginia,Virginia,,Red Blend,Tarara
47,Italy,13,Sicily & Sardinia,Sicilia,,Inzolia,Tasca d'Almerita
48,US,13,California,Lake County,,Riesling,The White Knight
49,US,16,Virginia,Monticello,,Sauvignon Blanc,Trump
50,France,14,Beaujolais,Brouilly,,Gamay,Vignerons de Bel Air
51,Italy,0,Sicily & Sardinia,Sicilia,,Red Blend,Viticultori Associati Canicatti
52,Chile,22,Colchagua Valley,,,Petit Verdot,Casa Silva
53,Italy,14,Sicily & Sardinia,Monica di Sardegna,,Monica,Cantine di Dolianova
54,France,15,Bordeaux,Bordeaux Blanc,,Bordeaux-style White Blend,Chateau de Sours
55,Italy,0,Sicily & Sardinia,Sicilia,,Red Blend,Corvo
56,US,30,California,Napa Valley,Napa,Chardonnay,RustRidge
57,US,14,California,North Coast,North Coast,Chardonnay,Souverain
58,Italy,13,Sicily & Sardinia,Sicilia,,Grillo,Tasca d'Almerita
59,Chile,13,Maipo Valley,,,Pinot Noir,Tres Palacios
60,US,55,Washington,Columbia Valley (WA),Columbia Valley,Malbec,Mellisoni
61,US,100,California,Napa Valley,Napa,Cabernet Sauvignon,Okapi
62,Italy,17,Central Italy,Romagna,,Sangiovese,Podere dal Nespoli
63,US,25,Washington,Columbia Valley (WA),Columbia Valley,Cabernet Franc,Ram
64,France,58,Champagne,Champagne,,Champagne Blend,Roland Champion
65,US,26,California,Santa Ynez Valley,Central Coast,Sauvignon Blanc,Sevtap
66,France,24,Burgundy,Chablis,,Chardonnay,Simonnet-Febvre
67,France,15,Burgundy,Macon-Milly Lamartine,,Chardonnay,Vignerons des Terres Secretes
68,US,46,Washington,Columbia Valley (WA),Columbia Valley,Bordeaux-style Red Blend,Basel Cellars
69,US,12,California,California,California Other,Red Blend,Cocobon
70,France,55,Champagne,Champagne,,Champagne Blend,Collet
71,US,12,Washington,Columbia Valley (WA),Columbia Valley,Chardonnay,Drumheller
72,US,40,California,Alexander Valley,Sonoma,Cabernet Sauvignon,Eco Terreno
73,Italy,32,Southern Italy,Aglianico del Vulture,,Aglianico,Grifalco
74,US,75,California,Howell Mountain,Napa,Cabernet Sauvignon,Hindsight
75,US,55,California,Calistoga,Napa,Petite Sirah,Hindsight
76,US,75,California,Napa Valley,Napa,Bordeaux-style Red Blend,Mulvane Wine Co.
77,Germany,9,Rheinhessen,,,Riesling,Schmitt Sohne
78,Australia,18,South Australia,South Australia,,Chardonnay,Yalumba
79,US,25,Oregon,Eola-Amity Hills,Willamette Valley,Pinot Noir,Z'IVO
80,Portugal,0,Tejo,,,Touriga Nacional,Adega Cooperativa do Cartaxo
81,Chile,12,Rapel Valley,,,Carmenere,Aresti
82,Spain,16,Galicia,Rias Baixas,,Albarino,Spyro
83,France,11,France Other,Vin de France,,Petit Manseng,Lionel Osmin & Cie
84,Australia,20,South Australia,McLaren Vale,,Rose,Mitolo
85,US,24,California,Napa Valley,Napa,Zinfandel,Napa Cellars
86,Germany,10,Rheinhessen,,,Riesling,P.J. Valckenberg
87,US,20,Washington,Ancient Lakes,Columbia Valley,Albarino,Palencia
88,US,55,California,Knights Valley,Sonoma,Merlot,Passaggio
89,Italy,29,Tuscany,Vernaccia di San Gimignano,,Vernaccia,Poggio Alloro
90,Italy,19,Tuscany,Toscana,,Rosato,Fattoria Sardi
91,US,23,California,Sonoma County,Sonoma,Red Blend,Ferrari-Carano
92,US,18,California,Sonoma Coast,Sonoma,Pinot Gris,Folie a Deux
93,US,55,California,Napa Valley,Napa,Meritage,Franciscan
94,Austria,12,Burgenland,,,Gruner Veltliner,Fuchs
95,US,22,Washington,Columbia Valley (WA),Columbia Valley,Viognier,Gard
96,France,20,Beaujolais,Julienas,,Gamay,Henry Fessy
97,France,18,Beaujolais,Regnie,,Gamay,Henry Fessy
